playerID,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,hits_per_year,runs_per_year,rbis_per_year,hr_per_year
silvelu01,1,8,11,7,6,3,2,1,0.545454545,0.909090909,0,3,0.615384615,1,1,2,3,0,0,1,0,0,Luis Silverio,N,165.0,71.0,3,2,9/9/1978,9/30/1978,silvl101,silvelu01,6.0,7.0,3.0,0.0
silveto01,3,31,30,2,3,3,0,0,0.1,0.1,0,0,0.181818182,0,1,2,9,1,0,0,0,0,Tom Silverio,N,170.0,70.0,2,1,4/30/1970,5/15/1972,silvt101,silveto01,1.0,0.6666666666666666,0.0,0.0
simmobr01,3,119,252,26,55,36,8,3,0.218253968,0.369047619,8,31,0.269372694,5,1,17,58,0,1,0,1,3,Brian Simmons,N,185.0,74.0,1,2,9/21/1998,10/7/2001,simmb001,simmobr01,18.333333333333332,8.666666666666666,10.333333333333334,2.6666666666666665
simmoha01,4,305,951,115,234,180,43,9,0.246056782,0.316508938,2,102,0.318441065,28,0,85,35,0,16,24,0,0,Hack Simmons,N,179.0,68.0,3,2,4/15/1910,6/30/1915,simmh101,simmoha01,58.5,28.75,25.5,0.5
simmojo01,3,58,272,45,60,46,12,2,0.220588235,0.279411765,0,30,0.226277372,6,3,2,4,0,0,0,0,0,Joe Simmons,N,166.0,69.0,0,0,1871-05-08,1875-06-14,simmj101,simmojo01,20.0,15.0,10.0,0.0
simmojo02,1,62,93,12,20,20,0,0,0.215053763,0.215053763,0,5,0.298076923,0,0,11,6,0,0,3,0,4,John Simmons,N,192.0,73.0,3,2,4/22/1949,9/25/1949,simmj102,simmojo02,20.0,12.0,5.0,0.0
simmone01,3,100,330,38,86,60,14,1,0.260606061,0.409090909,11,40,0.329758713,2,1,31,54,6,0,0,6,9,Nelson Simmons,N,185.0,73.0,1,2,9/4/1984,5/8/1987,simmn001,simmone01,28.666666666666668,12.666666666666666,13.333333333333334,3.6666666666666665
simmsmi01,9,330,660,92,163,93,33,1,0.246969697,0.463636364,36,121,0.323489933,4,4,69,175,1,8,0,7,15,Mike Simms,N,185.0,76.0,3,2,9/5/1990,10/3/1999,simmm001,simmsmi01,18.11111111111111,10.222222222222221,13.444444444444445,4.0
simonha01,4,130,539,100,144,106,22,14,0.26716141,0.371057514,2,61,0.33277027,35,0,51,0,0,2,0,0,0,Hank Simon,N,155.0,66.0,3,2,1887-10-07,1890-10-12,simoh101,simonha01,48.0,33.333333333333336,20.333333333333332,0.6666666666666666
simonme01,2,75,194,24,52,43,9,0,0.268041237,0.31443299,0,12,0.310679612,1,1,12,18,0,0,7,0,0,Mel Simons,N,175.0,70.0,2,2,4/14/1931,4/20/1932,simom101,simonme01,26.0,12.0,6.0,0.0
simonmi01,7,379,1069,85,241,202,28,10,0.225444341,0.273152479,1,90,0.268551237,9,0,54,73,0,9,24,0,0,Mike Simon,N,188.0,71.0,3,2,6/27/1909,9/30/1915,simom102,simonmi01,34.42857142857143,12.142857142857142,12.857142857142858,0.14285714285714285
simonra01,12,537,1609,172,455,332,71,3,0.282784338,0.422001243,49,237,0.327764977,2,4,82,148,20,12,1,13,48,Randall Simon,N,180.0,72.0,2,1,9/1/1997,9/30/2006,simor001,simonra01,45.5,17.2,23.7,4.9
simonsy01,2,24,33,5,8,6,1,1,0.242424242,0.333333333,0,6,0.305555556,0,0,3,5,0,0,0,0,0,Syl Simon,N,170.0,70.0,3,2,10/1/1923,9/27/1924,simos101,simonsy01,4.0,2.5,3.0,0.0
simpsdi01,11,288,518,94,107,71,19,2,0.206563707,0.337837838,15,56,0.304857621,10,10,64,174,5,6,3,4,8,Dick Simpson,N,176.0,76.0,3,2,9/21/1962,8/27/1969,simpd102,simpsdi01,11.88888888888889,10.444444444444445,6.222222222222222,1.6666666666666667
simpsha01,19,888,2829,343,752,537,101,41,0.26581831,0.407917992,73,381,0.334608031,17,18,271,429,17,10,16,11,69,Harry Simpson,N,180.0,73.0,2,2,4/21/1951,9/27/1959,simph101,simpsha01,57.84615384615385,26.384615384615383,29.307692307692307,5.615384615384615
simpsma01,1,4,15,4,2,2,0,0,0.133333333,0.133333333,0,2,0.133333333,0,0,0,0,0,0,0,0,0,Marty Simpson,N,0.0,0.0,0,0,1873-05-14,1873-07-11,simpm101,simpsma01,2.0,4.0,2.0,0.0
simsgr01,1,7,6,1,1,1,0,0,0.166666667,0.166666667,0,0,0.285714286,0,0,1,3,0,0,0,0,0,Greg Sims,N,190.0,72.0,1,2,4/15/1966,5/19/1966,simsg101,simsgr01,1.0,1.0,0.0,0.0
sinatma01,10,140,252,20,48,40,6,1,0.19047619,0.234126984,1,21,0.246323529,2,1,17,35,1,1,5,1,11,Matt Sinatro,N,174.0,69.0,3,2,9/22/1981,5/26/1992,sinam001,sinatma01,4.8,2.0,2.1,0.1
sinerho01,1,10,23,1,3,3,0,0,0.130434783,0.130434783,0,1,0.2,0,0,2,0,0,0,0,0,0,Hosea Siner,N,185.0,70.0,3,2,7/28/1909,8/23/1909,sineh101,sinerho01,3.0,1.0,1.0,0.0
singlch01,6,704,2230,326,609,408,133,23,0.27309417,0.413901345,45,276,0.315022888,81,27,130,343,9,9,39,25,32,Chris Singleton,N,195.0,74.0,2,1,4/10/1999,5/19/2005,singc001,singlch01,101.5,54.333333333333336,46.0,7.5
singldu01,3,33,87,5,11,10,1,0,0.126436782,0.137931034,0,3,0.182795699,1,2,5,25,0,1,0,0,2,Duane Singleton,N,170.0,73.0,2,2,8/4/1994,6/6/1996,singd001,singldu01,3.6666666666666665,1.6666666666666667,1.0,0.0
singtfr01,6,181,516,66,140,92,36,5,0.271317829,0.401162791,7,85,0.381578947,2,2,89,66,0,3,3,0,6,Fred Sington,N,215.0,74.0,3,2,9/23/1934,6/16/1939,singf101,singtfr01,23.333333333333332,11.0,14.166666666666666,1.1666666666666667
sipekdi01,1,82,156,14,38,30,6,2,0.243589744,0.307692308,0,13,0.301775148,0,0,9,15,0,4,1,0,4,Dick Sipek,N,170.0,69.0,2,2,4/28/1945,9/29/1945,siped101,sipekdi01,38.0,14.0,13.0,0.0
sipinjo01,1,68,229,22,51,35,12,2,0.222707424,0.318777293,2,9,0.254166667,2,0,8,44,1,1,2,1,3,John Sipin,N,175.0,73.0,3,2,5/24/1969,8/27/1969,sipij101,sipinjo01,51.0,22.0,9.0,2.0
siscost01,1,25,27,4,5,4,0,0,0.185185185,0.296296296,1,2,0.266666667,0,0,3,4,0,0,0,0,1,Steve Sisco,N,190.0,70.0,3,2,5/6/2000,9/30/2000,siscs001,siscost01,5.0,4.0,2.0,1.0
sisledi01,10,799,2606,302,720,519,118,28,0.276285495,0.406369916,55,360,0.336149243,6,3,226,253,0,9,39,0,44,Dick Sisler,N,205.0,74.0,2,2,4/16/1946,8/1/1953,sisld101,sisledi01,80.0,33.55555555555556,40.0,6.111111111111111
sixsmed01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ed Sixsmith,N,140.0,69.0,3,2,1884-09-11,1884-09-11,sixse101,sixsmed01,0.0,0.0,0.0,0.0
