playerID,num_years,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
hollimi01,1,1,11,23,4,6,2,2,1,0.260869565,0.565217391,1,2,0.28,0,0,1,6,0,0,0,1,0,Michael Hollimon,N,195,73,B,R,6/9/2008,7/6/2008,hollm002,hollimi01
hollmst01,3,3,94,265,29,67,46,13,6,0.252830189,0.369811321,2,27,0.31010453,1,0,20,46,0,2,2,0,9,Stan Hollmig,N,190,74,R,R,4/19/1949,9/26/1951,holls101,hollmst01
holloch01,7,7,760,2936,411,894,700,145,35,0.304495913,0.392029973,14,241,0.369558506,99,80,277,94,0,26,151,0,0,Charlie Hollocher,N,154,67,L,R,4/16/1918,8/20/1924,hollc101,holloch01
hollyed01,4,4,276,971,92,224,187,29,7,0.23069001,0.278063852,1,78,0.281730769,33,0,63,58,0,6,34,0,0,Ed Holly,N,165,70,R,R,7/18/1906,6/6/1915,holle102,hollyed01
holmaga01,2,2,116,116,11,30,23,6,1,0.25862069,0.327586207,0,9,0.358208955,0,0,17,22,1,0,0,0,1,Gary Holman,N,200,73,L,L,6/26/1968,6/18/1969,holmg101,holmaga01
holmbi01,3,3,119,282,22,44,39,4,1,0.156028369,0.177304965,0,15,0.272171254,2,1,41,40,0,4,10,0,5,Billy Holm,N,168,70,R,R,9/24/1943,9/30/1945,holmb101,holmbi01
holmedu02,1,1,9,27,2,5,5,0,0,0.185185185,0.185185185,0,2,0.266666667,0,0,2,0,0,1,0,0,0,Ducky Holmes,N,160,70,R,R,4/18/1906,4/29/1906,holmd102,holmedu02
holmefr01,2,2,2,3,1,1,0,1,0,0.333333333,0.666666667,0,0,0.5,0,0,1,0,0,0,0,0,0,Fred Holmes,N,145,67,R,R,8/23/1903,4/24/1904,holmf101,holmefr01
holmst01,3,3,59,108,12,26,15,10,0,0.240740741,0.361111111,1,6,0.341269841,0,1,13,20,1,3,0,1,3,Steve Holm,N,205,72,R,R,4/4/2008,4/30/2011,holms002,holmst01
holmwa01,7,7,436,1493,207,410,305,73,26,0.274614869,0.370395177,6,174,0.322277847,11,4,100,86,0,5,51,0,0,Wattie Holm,N,160,69,R,R,4/15/1924,8/10/1932,holmw101,holmwa01
holtji01,10,11,707,1616,174,428,335,64,10,0.264851485,0.35210396,19,177,0.311963366,8,6,93,166,17,7,5,14,47,Jim Holt,N,180,72,L,R,4/17/1968,10/3/1976,holtj101,holtji01
holtre01,1,1,27,88,13,24,16,7,0,0.272727273,0.386363636,1,8,0.36,0,0,12,9,0,0,2,0,0,Red Holt,N,175,71,L,L,9/5/1925,10/3/1925,holtr102,holtre01
holtro01,1,1,2,6,0,1,1,0,0,0.166666667,0.166666667,0,1,0.285714286,0,0,1,2,0,0,0,0,0,Roger Holt,N,165,71,B,R,10/4/1980,10/5/1980,holtr101,holtro01
honanma01,2,2,6,15,1,2,1,0,1,0.133333333,0.266666667,0,4,0.1875,0,0,1,5,0,0,0,0,0,Marty Honan,N,,,,,1890-10-03,1891-06-15,honam101,honanma01
hoodab01,1,1,5,21,2,6,3,2,0,0.285714286,0.523809524,1,2,0.318181818,0,0,1,0,0,0,1,0,0,Abie Hood,N,152,67,L,R,7/13/1925,7/17/1925,hooda101,hoodab01
hoodwa01,4,5,67,80,23,19,14,2,2,0.2375,0.35,1,5,0.357894737,5,2,14,18,0,1,2,0,0,Wally Hood,N,160,71,R,R,4/15/1920,4/22/1922,hoodw101,hoodwa01
hooksal01,1,1,15,44,4,10,7,3,0,0.227272727,0.295454545,0,4,0.276595745,0,0,3,10,0,0,1,0,0,Alex Hooks,N,183,73,L,L,4/17/1935,5/20/1935,hooka101,hooksal01
hoopeke01,2,2,14,8,1,1,1,0,0,0.125,0.125,0,0,0.222222222,0,0,1,2,0,0,3,0,0,Kevin Hooper,N,160,70,R,R,7/9/2005,9/24/2006,hoopk001,hoopeke01
hoopemi01,1,1,3,14,3,3,2,1,0,0.214285714,0.285714286,0,2,0.214285714,0,0,0,0,0,0,0,0,0,Mike Hooper,N,165,66,,,1873-06-27,1873-07-11,hoopm101,hoopemi01
hoovebu01,4,5,127,525,114,151,113,23,14,0.287619048,0.39047619,1,16,0.336879433,16,0,37,13,0,2,0,0,0,Buster Hoover,N,178,73,R,R,1884-04-17,1892-10-15,hoovb101,hoovebu01
hoovech01,2,2,74,268,44,67,59,2,5,0.25,0.305970149,1,26,0.327759197,9,0,29,38,0,2,0,0,0,Charlie Hoover,N,170,68,L,R,1888-10-09,1889-09-28,hoovc101,hoovech01
hoovejo01,3,3,338,1238,178,301,236,45,15,0.243134087,0.315831987,5,84,0.299701046,19,17,92,202,0,8,46,0,17,Joe Hoover,N,175,71,R,R,4/21/1943,9/23/1945,hoovj101,hoovejo01
hoovepa01,7,7,40,100,10,25,22,3,0,0.25,0.28,0,8,0.305555556,0,0,5,31,3,0,0,0,5,Paul Hoover,N,210,73,R,R,9/8/2001,9/29/2010,hoovp001,hoovepa01
hopkibu01,1,1,15,44,7,6,3,3,0,0.136363636,0.204545455,0,3,0.333333333,2,0,10,0,0,3,1,0,0,Buck Hopkins,N,165,70,L,L,7/22/1907,9/24/1907,hopkb101,hopkibu01
hopkido01,2,2,85,6,25,1,1,0,0,0.166666667,0.166666667,0,0,0.375,21,10,2,0,0,0,0,0,0,Don Hopkins,N,175,72,L,R,4/8/1975,10/3/1976,hopkd101,hopkido01
hopkiga01,7,7,514,1219,142,324,246,47,6,0.265791632,0.375717801,25,145,0.361267606,6,4,160,83,21,8,1,12,33,Gail Hopkins,N,198,70,L,R,6/29/1968,10/2/1974,hopkg101,hopkiga01
hopkima01,3,4,136,379,48,80,64,12,0,0.211081794,0.274406332,4,48,0.356989247,1,3,85,54,0,1,15,0,1,Marty Hopkins,N,175,71,R,R,4/17/1934,9/22/1935,hopkm102,hopkima01
hopkimi01,1,1,1,2,0,2,1,1,0,1,1.5,0,0,1,0,0,0,0,0,0,0,0,0,Mike Hopkins,N,160,68,R,R,8/24/1902,8/24/1902,hopkm101,hopkimi01
hoppeno01,3,3,168,396,60,125,107,15,2,0.315656566,0.371212121,1,20,0.368055556,17,8,31,43,1,2,9,2,9,Norris Hopper,N,205,71,R,R,8/20/2006,7/1/2008,hoppn001,hoppeno01
hoppjo01,18,23,1393,4260,698,1262,926,216,74,0.296244131,0.414084507,46,458,0.367910605,128,1,464,378,0,19,61,0,60,Johnny Hopp,N,170,70,L,L,9/18/1939,9/27/1952,hoppj102,hoppjo01
horansh01,1,1,22,31,4,9,8,1,0,0.290322581,0.322580645,0,7,0.3125,0,0,1,5,0,0,1,0,0,Shags Horan,N,170,70,R,R,7/14/1924,9/18/1924,horas101,horansh01
hornsa01,8,8,389,1040,132,250,138,49,1,0.240384615,0.468269231,62,179,0.334448161,0,1,132,323,11,7,0,6,37,Sam Horn,N,215,77,L,L,7/25/1987,9/20/1995,horns001,hornsa01
hortoto01,8,9,636,2228,251,597,404,102,15,0.267953321,0.429533214,76,297,0.317861583,12,8,140,319,17,13,5,15,68,Tony Horton,N,210,75,R,R,7/31/1964,8/28/1970,hortt101,hortoto01
horwibr01,1,1,21,36,5,8,6,0,0,0.222222222,0.388888889,2,4,0.30952381,0,0,5,10,0,0,0,1,0,Brian Horwitz,N,185,73,R,R,5/30/2008,6/30/2008,horwb001,horwibr01
hoseydw01,2,2,52,146,33,40,23,10,3,0.273972603,0.465753425,4,10,0.341614907,12,3,15,33,0,0,3,0,0,Dwayne Hosey,N,175,70,B,R,9/1/1995,6/20/1996,hosed001,hoseydw01
hoseyst01,2,2,24,58,6,15,12,2,0,0.25862069,0.344827586,1,7,0.262295082,1,1,1,16,0,0,0,2,1,Steve Hosey,N,215,75,R,R,8/29/1992,9/15/1993,hoses001,hoseyst01
hosleti01,10,11,208,368,43,79,56,11,0,0.214673913,0.342391304,12,53,0.328735632,1,1,57,73,3,4,2,3,8,Tim Hosley,N,185,71,R,R,9/8/1970,6/10/1981,hoslt101,hosleti01
hostech01,2,2,132,309,45,86,72,12,2,0.278317152,0.330097087,0,22,0.338278932,4,4,28,39,0,0,6,0,4,Chuck Hostetler,N,175,72,L,R,4/18/1944,9/23/1945,hostc101,hostech01
hosteda01,5,5,255,818,92,187,121,23,6,0.228606357,0.407090465,37,124,0.315450644,2,4,97,248,4,6,0,7,29,Dave Hostetler,N,215,76,R,R,9/15/1981,5/3/1988,hostd001,hosteda01
hotalpe01,9,9,840,3492,590,931,711,148,63,0.266609393,0.352806415,9,371,0.314140332,78,0,224,161,0,18,0,0,0,Pete Hotaling,N,166,68,L,R,1879-05-01,1888-09-15,hotap101,hotalpe01
hottmke01,1,1,6,16,1,2,2,0,0,0.125,0.125,0,0,0.176470588,0,0,1,2,0,0,0,0,1,Ken Hottman,N,190,71,R,R,9/11/1971,9/30/1971,hottk101,hottmke01
houcksa01,10,12,641,2659,406,666,498,106,58,0.250470102,0.33847311,4,234,0.269160249,31,0,48,75,0,20,0,0,0,Sadie Houck,N,151,67,R,R,1879-05-01,1887-09-23,houcs101,houcksa01
houkra01,8,8,91,158,12,43,36,6,1,0.272151899,0.32278481,0,20,0.32748538,0,0,12,10,0,1,0,0,3,Ralph Houk,N,193,71,R,R,4/26/1947,5/1/1954,houkr101,houkra01
housebe01,3,3,162,472,58,126,91,21,5,0.266949153,0.389830508,9,68,0.321568627,3,0,37,35,0,1,8,0,0,Ben Houser,N,185,73,L,L,5/2/1910,10/5/1912,housb101,housebe01
